,,,,Distribution,,,Valuation ,,,Dates,,,,Time,,,Market Capitalization (Coinmarketcap.com),,,,,Token Returns,,,Ether Returns,,,Bitcoin Returns,,,Excess Returns (Arithmetic Avg),,Monthly CAGR,,
Name,status,Type,Raise,Total Amount of tokens,Amount sold in ICO,% Ownership,Project Valuation,Implied Token Price,Implied Token Price Check,Start Date,ICO End Date,Today,Month,Days,Months,Years,Ticker,available_supply,total_supply,Market Cap,Implied Project Valuation,Token Raise,Token Now,Total Return,ETH Raise,ETH Now,ETH Return,BTC Raise,BTC Now,Bitcoin Return,Excess Return ETH,Excess Return BTC,Token,ETH,BTC
The Dao,Completed,Investing,"$150,000,000",,,,,,,30Apr16,2016-05-28,2017-05-18,May16,355,11.83333333,0.9726027397,,,,,,,,,,,,,,,,,,,
Cosmos,Completed,Blockchain Infrastructure,"$16,800,000",,,,,,,4/6/2017,2017-04-06,2017-05-18,Apr17,42,1.4,0.1150684932,,,,,,,,,,,,,,,,,,,
Waves,Completed,Decentralized Applications Platform,"$16,010,008","100,000,000","85,000,000",85.00%,"$18,835,304",$0.19,$0.19,4/12/2016,2016-05-31,2017-05-18,May16,352,11.73333333,0.9643835616,waves,"100,000,000.00","100,000,000.00","$95,394,700","$95,394,700",$0.19,$0.95,406.47%,$13.37,$85.09,540.01%,$533.70,"$1,751.87",228.25%,-133.55%,178.22%,15.05%,17.34%,10.82%
Qtum,Completed,Decentralized Applications Platform,"$15,664,829",,,,,,,3/16/2017,2017-04-16,2017-05-18,Apr17,32,1.066666667,0.08767123288,,,,,,,,,,,,,,,,,,,
Tokencard,Completed,Banking,"$12,700,000","39,406,760","23,644,056",60.00%,"$21,166,667",$0.54,$0.54,5/2/2017,2017-05-02,2017-05-18,May17,16,0.5333333333,0.04383561644,tokencard,"23,644,056.00","39,406,760.00","$25,063,409","$41,772,348",$0.54,$1.06,97.35%,$78.91,$85.09,8.44%,"$1,460.62","$1,751.87",19.94%,88.91%,77.41%,264.13%,15.41%,41.29%
Gnosis,Completed,Prediction Market,"$12,500,000","10,000,000","418,760",4.19%,"$298,500,000",$29.85,$29.85,4/24/2017,2017-04-24,2017-05-18,Apr17,24,0.8,0.06575342466,gnosis-gno,"1,104,590.00","10,000,000.00","$115,848,295","$1,048,790,004",$29.85,$104.88,251.35%,$49.99,$85.09,71.17%,"$1,252.79","$1,751.87",39.84%,180.18%,211.52%,391.65%,96.23%,52.95%
iEx.ec,Completed,Computing,"$12,158,963","87,000,000","60,000,000",68.97%,"$17,630,496",$0.20,$0.20,4/19/2017,2017-04-19,2017-05-18,Apr17,29,0.9666666667,0.07945205479,rlc,"78,070,793.00","86,999,785.00","$44,069,792","$49,110,074",$0.20,$0.56,178.55%,$49.78,$85.09,71.90%,"$1,201.38","$1,751.87",45.82%,106.66%,132.73%,192.85%,75.47%,48.53%
Iconomi,Completed,Investing,"$10,682,516","100,000,000","85,000,000",85.00%,"$12,567,666",$0.13,$0.13,25Aug2016,2016-09-26,2017-05-18,Sep16,234,7.8,0.6410958904,iconomi,"87,000,000.00","100,000,000.00","$49,470,810","$56,863,000",$0.13,$0.57,352.45%,$12.96,$85.09,560.26%,$605.25,"$1,751.87",189.45%,-207.81%,163.01%,21.68%,27.71%,14.81%
Blockchain Capital Fund,Completed,Investing,"$10,000,000",,,,,,,4/10/2017,2017-04-10,2017-05-18,Apr17,38,1.266666667,0.104109589,,,,,,,,,,,,,,,,,,,
